sessionId,model,actionId,s_t_img,s_t1_img,after_yaw,after_pitch,delta_yaw,delta_pitch,init_yaw,init_pitch,t_start_ms,t_end_ms,duration_ms,server_received_ms
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246016878-884400_before.png,1779246016878-884400_after.png,90.07673301656973,9.961558098090336,5,0,,,1779246016878,1779246016939,61,1779246016944
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246017070-717365_before.png,1779246017070-717365_after.png,95.07673301656973,9.961558098090336,5,0,,,1779246017070,1779246017120,50,1779246017125
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246017258-159381_before.png,1779246017258-159381_after.png,100.07673301656973,9.961558098090336,5,0,,,1779246017258,1779246017310,52,1779246017317
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246017469-424990_before.png,1779246017469-424990_after.png,105.07673301656973,9.961558098090336,5,0,,,1779246017469,1779246017520,51,1779246017525
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246017678-252081_before.png,1779246017678-252081_after.png,110.07673301656973,9.961558098090336,5,0,,,1779246017678,1779246017730,52,1779246017738
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246017895-293643_before.png,1779246017895-293643_after.png,115.07673301656973,9.961558098090336,5,0,,,1779246017895,1779246017957,62,1779246017964
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246018128-306970_before.png,1779246018128-306970_after.png,120.07673301656973,9.961558098090336,5,0,,,1779246018128,1779246018190,62,1779246018197
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246018381-346050_before.png,1779246018381-346050_after.png,125.07673301656973,9.961558098090336,5,0,,,1779246018381,1779246018432,51,1779246018452
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246018640-598527_before.png,1779246018640-598527_after.png,130.07673301656973,9.961558098090336,5,0,,,1779246018640,1779246018694,54,1779246018705
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246018900-204161_before.png,1779246018900-204161_after.png,135.07673301656973,9.961558098090336,5,0,,,1779246018900,1779246018950,50,1779246018960
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246019167-853701_before.png,1779246019167-853701_after.png,140.07673301656973,9.961558098090336,5,0,,,1779246019166,1779246019217,51,1779246019225
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246019376-527825_before.png,1779246019376-527825_after.png,145.07673301656973,9.961558098090336,5,0,,,1779246019376,1779246019432,56,1779246019443
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246019614-920845_before.png,1779246019614-920845_after.png,150.07673301656973,9.961558098090336,5,0,,,1779246019614,1779246019669,55,1779246019678
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246019864-322058_before.png,1779246019864-322058_after.png,155.07673301656973,9.961558098090336,5,0,,,1779246019864,1779246019924,60,1779246019932
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246020082-850449_before.png,1779246020082-850449_after.png,160.07673301656973,9.961558098090336,5,0,,,1779246020082,1779246020138,56,1779246020147
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246020324-483481_before.png,1779246020324-483481_after.png,165.07673301656973,9.961558098090336,5,0,,,1779246020324,1779246020376,52,1779246020381
